TypeTag,Ref,v,<%Error>,Number of Levels,Within Uncertainty,%RealDifference
Exp,05DePoDe,4,10.993822414392014,8,7,0.15705394922524887
Exp,21SuZhZh,2,3.309074411707507,1,1,
Exp,21SuZhZh,4,-34.12837330460113,1,1,
Exp,78BrErLy,2,20.130854678475245,22,13,33.49208594236397
Exp,91GrFa,3,2.9766222547829786,17,12,17.547389009853028
Exp,92HeCrJe,3,19.48605954986167,27,18,4.982657470165159
Exp,97SpMeMe,3,-15.415043960920864,20,16,12.380022709497002
Theory,99PaYa,2,-18.827593809506862,23,15,11.294384199107789
Theory,99PaYa,3,-18.735577649553647,35,12,7.87720927337188
Theory,99PaYa,4,-2.553520295322056,21,18,6.919927761011285
